song,level,lyrics
It Won't Be Long,4,"It won't be long yeh, yeh, yeh<br>It won't be long yeh, yeh, yeh<br>It won't be long yeh, till I belong to you<br><br>Every night when everybody has fun<br>Here am I sitting all on my own<br><br>It won't be long yeh, yeh, yeh<br>It won't be long yeh, yeh, yeh<br>It won't be long yeh, till I belong to you<br><br>Since you left me (You), I'm so alone (left me here on my own)<br>Now you're coming, you're coming on home (Now you're coming on home)<br>I'll be good like I know I should (Yes, you're coming)<br>You're coming home, you're coming home<br><br>Every night the tears come down from my eyes<br>Every day I've done nothing but cry<br><br>It won't be long yeh, yeh, yeh<br>It won't be long yeh, yeh, yeh<br>It won't be long yeh, till I belong to you<br><br>Since you left me, I'm so alone<br>Now you're coming, you're coming on home<br>I'll be good like I know I should<br>You're coming home, you're coming home<br><br>So every day we'll be happy I know<br>Now I know that you won't leave me no more<br><br>It won't be long yeh, yeh, yeh<br>It won't be long yeh, yeh<br>It won't be long yeh, till I belong to you, woo"
It's All Too Much,4,"It's all too much<br>It's all too much<br><br>When I look into your eyes, your love is there for me<br>And the more I go inside, the more there is to see<br><br>It's all too much for me to take<br>The love that's shining all around you<br>Everywhere, it's what you make<br>For us to take, it's all too much<br><br>Floating down the stream of time from life to life with me<br>Makes no difference where you are or where you'd like to be<br><br>It's all too much for me to take<br>The love that's shining all around here<br>All the world is birthday cake<br>So take a piece but not too much<br><br>Sail me on a silver sun, where I know that I'm free<br>Show me that I'm everywhere, and get me home for tea<br><br>It's all to much for me to see<br>The love that's shining all around here<br>The more I learn, the less I know<br>But what I do is all too much<br><br>It's all too much for me to take<br>The love that's shining all around you<br>Everywhere, it's what you make<br>For us to take, it's all too much<br><br>It's too much<br>Ah, it's too much<br><br>With your long blond hair and your eyes of blue<br>With your long blond hair and your eyes of blue<br><br>You're too much, ah<br>We all get too much<br><br>Too much, too much, too much<br>Too much a, too much a, too much a<br>Too much a, too much a, too much a<br>Too much a, too much a, too much a<br>Too much a, too much a, too much a<br>Too much a, too much a, too much a<br>Too much a, too much a, too much a<br>Too much a, too much a, too much a<br>Too much a<br><br>Much, much, much, much, much<br>Much, much, much, much, much<br>Much, much, much, much, much<br>Much, much, much, much, much<br>Much, much, much, much, much"
It's Only Love,4,"I get high when I see you go by<br>My oh my<br>When you sigh, my, my inside just flies<br>Butterflies<br>Why am I so shy when I'm beside you?<br><br>It's only love and that is all<br>Why should I feel the way I do?<br>It's only love, and that is all<br>But it's so hard loving you<br><br>Is it right that you and I should fight<br>Every night?<br>Just the sight of you makes nighttime bright<br>Very bright<br>Haven't I the right to make it up girl?<br><br>It's only love and that is all<br>Why should I feel the way I do?<br>It's only love, and that is all<br>But it's so hard loving you<br>Yes it's so hard loving you, loving you"
Julia,4,"Half of what I say is meaningless<br>But I say it just to reach you, Julia<br><br>Julia, Julia, oceanchild, calls me<br>So I sing a song of love, Julia<br>Julia, seashell eyes, windy smile, calls me<br>So I sing a song of love, Julia<br><br>Her hair of floating sky is shimmering, glimmering<br>In the sun<br><br>Julia, Julia, morning moon, touch me<br>So I sing a song of love, Julia<br><br>When I cannot sing my heart<br>I can only speak my mind, Julia<br><br>Julia, sleeping sand, silent cloud, touch me<br>So I sing a song of love, Julia<br>Hum hum hum hum... calls me<br>So I sing a song of love for Julia, Julia, Julia"
Kansas City | Hey-Hey-Hey-Hey,4,"Ah, Kansas City<br>Gonna get my baby back home<br>Yeah, yeah<br>I'm gonna Kansas city<br>Gonna get my baby back home<br>Yeah, yeah<br>Well, it's a long, long, time<br>Since my baby's been gone<br><br>Ah, Kansas City<br>Gonna to get my baby on time<br>Yeah, yeah<br>I'm gonna Kansas City<br>Gonna get my baby on time<br>Yeah, yeah<br>It's just a one, two, three, four<br>Five, six, seven, eight, nine, wah<br><br>Hey, hey, hey, hey<br>Hey, baby, woo no clown<br>I say you're no clown<br>Now, now, now, now<br>Tell me baby<br>What's been wrong with you<br><br>Hey, hey, hey, hey<br>Hey, now baby, woo no clown<br>I say you're no clown<br>Now, now, now, now<br>Tell me baby<br>What's been wrong with you<br><br>Well, I'll say bye<br>Bye, bye, baby bye, bye<br>Oh, so long<br>Bye, bye, baby I'm gone<br>Yeah, I said<br>Bye, bye, baby, bye, bye<br>Bye, bye, bye, bye<br><br>Well, I'll say bye<br>Bye, bye, baby bye, bye"
"Komm, Gib Mir Deine Hand",4,"Oh, komm doch, komm zu mir<br>Du nimmst mir den Verstand<br>Oh, komm doch, komm zu mir<br>Komm, gib mir deine Hand<br>Komm, gib mir deine Hand<br>Komm, gib mir deine Hand<br><br>Oh, du bist so schön<br>Schön wie ein Diamant<br>Ich will mit dir gehen<br>Komm, gib mir deine Hand<br>Komm, gib mir deine Hand<br>Komm, gib mir deine Hand<br><br>In deinen Armen bin ich glücklich und froh<br>Das war noch nie bei einer Anderen<br>Einmal so<br>Einmal so<br>Einmal so<br><br>Oh, komm doch, komm zu mir<br>Du nimmst mir den Verstand<br>Oh, komm doch, komm zu mir<br>Komm, gib mir deine Hand<br>Komm, gib mir deine Hand<br>Komm, gib mir deine Hand<br><br>In deinen Armen bin ich glücklich und froh<br>Das war noch nie bei einer Anderen<br>Einmal so<br>Einmal so<br>Einmal so<br><br>Oh, du bist so schön<br>Schön wie ein Diamant<br>Ich will mit dir gehen<br>Komm, gib mir deine Hand<br>Komm, gib mir deine Hand<br>Komm, gib mir deine Hand<br>Komm, gib mir deine Hand"
Lady Madonna,1,"Lady Madonna, children at your feet<br>Wonder how you manage to make ends meet<br>Who finds the money when you pay the rent<br>Did you think that money was Heaven sent?<br>Friday night arrives without a suitcase<br>Sunday morning creeping like a nun<br>Monday's child has learned to tie his bootlace<br>See how they run<br><br>Lady Madonna, baby at your breast<br>Wonders how you manage to feed the rest?<br><br>See how they run<br><br>Lady Madonna lying on the bed<br>Listen to the music playing in your head<br><br>Tuesday afternoon is never ending<br>Wednesday morning papers didn't come<br>Thursday night your stockings needed mending<br>See how they run<br><br>Lady Madonna, children at your feet<br>Wonder how you manage to make ends meet"
Let It Be,1,"When I find myself in times of trouble<br>Mother Mary comes to me<br>Speaking words of wisdom<br>Let it be<br><br>And in my hour of darkness<br>She is standing right in front of me<br>Speaking words of wisdom<br>Let it be<br><br>Let it be, let it be, let it be, let it be<br>Whisper words of wisdom<br>Let it be<br><br>And when the broken-hearted people<br>Living in the world agree<br>There will be an answer<br>Let it be<br><br>For though they may be parted there is<br>Still a chance that they will see<br>There will be an answer<br>Let it be<br><br>Let it be, let it be, let it be, let it be<br>Yeah, there will be an answer<br>Let it be<br><br>Let it be, let it be, let it be, let it be<br>Whisper words of wisdom<br>Let it be<br><br>Let it be, let it be, let it be, let it be<br>Whisper words of wisdom<br>Let it be<br><br>And when the night is cloudy<br>There is still a light that shines on me<br>Shine until tomorrow<br>Let it be<br><br>I wake up to the sound of music<br>Mother Mary comes to me<br>Speaking words of wisdom<br>Let it be<br><br>Let it be, let it be, let it be, yeah, let it be<br>There will be an answer<br>Let it be<br><br>Let it be, let it be, let it be, yeah, let it be<br>There will be an answer<br>Let it be<br><br>Let it be, let it be, let it be, yeah, let it be<br>Whisper words of wisdom<br>Let it be"
Little Child,4,"Little child, little child<br>Little child, won't you dance with me?<br>I'm so sad and lonely<br>Baby take a chance with me<br><br>Little child, little child<br>Little child, won't you dance with me?<br>I'm so sad and lonely<br>Baby take a chance with me<br><br>If you want someone<br>To make you feel so fine<br>Then we'll have some fun<br>When you're mine, all mine<br>So come, come on, come on<br><br>Little child, little child<br>Little child, won't you dance with me?<br>I'm so sad and lonely<br>Baby take a chance with me<br><br>When you're by my side<br>You're the only one<br>Don't you run and hide<br>Just come on, come on<br>So come on, come on, come on<br><br>Little child, little child<br>Little child, won't you dance with me?<br>I'm so sad and lonely<br>Baby take a chance with me<br>Baby take a chance with me<br>Baby take a chance with me"
Long Tall Sally,4,"I'm gonna tell Aunt Mary 'bout Uncle John<br>He said he had the misery but he got a lot of fun<br>Baby, yeah now baby<br>Woo baby, some fun tonight<br><br>I saw Uncle John with Long Tall Sally<br>He saw Aunt Mary coming and he ducked back in the alley<br>Oh, baby, yeah now baby<br>Woo baby, some fun tonight<br><br>Well Long Tall Sally's built pretty sweet<br>She got everything that Uncle John need<br>Baby, yeah now baby<br>Woo baby, some fun tonight<br><br>Well, we're gonna have some fun tonight<br>Have some fun tonight<br>Everything's all right<br>Have some fun tonight<br>Have some fun<br>Yeah, yeah, yeah,<br>We're gonna have some fun tonight<br>Have some fun tonight<br>Everything's all right<br>Have some fun tonight<br>Yeah, we'll have some fun<br>Some fun tonight"
"Long, Long, Long",4,"It's been a long long long time<br>How could I ever have lost you<br>When I loved you<br><br>It took a long long long time<br>Now I'm so happy I found you<br>How I love you<br><br>So many tears I was searching<br>So many tears I was wasting, oh oh<br><br>Now I can see you, be you<br>How can I ever misplace you<br>How I want you<br>Oh I love you<br>You know that I need you<br>Ooh I love you<br><br>Oh"
Love Me Do,1,"Love, love me do<br>You know I love you<br>I'll always be true<br>So please, love me do<br>Whoa, love me do<br><br>Love, love me do<br>You know I love you<br>I'll always be true<br>So please, love me do<br>Whoa, love me do<br><br>Someone to love<br>Somebody new<br>Someone to love<br>Someone like you<br><br>Love, love me do<br>You know I love you<br>I'll always be true<br>So please, love me do<br>Whoa, love me do<br><br>Love, love me do<br>You know I love you<br>I'll always be true<br>So please, love me do<br>Whoa, love me do<br>Yeah, love me do<br>Whoa, oh, love me do"
Love You To,4,"Each day just goes so fast<br>I turn around, it's past<br>You don't get time to hang a sign on me<br><br>Love me while you can<br>Before I'm a dead old man<br><br>A lifetime is so short<br>A new one can't be bought<br>But what you've got means such a lot to me<br><br>Make love all day long<br>Make love singing songs<br><br>Make love all day long<br>Make love singing songs<br><br>There's people standing round<br>Who'll screw you in the ground<br>They'll fill you in with all their sins, you'll see<br><br>I'll make love to you<br>If you want me to"
Lovely Rita,4,"Aaaahhh...<br><br>Lovely Rita meter maid<br>Lovely Rita meter maid<br><br>Lovely Rita meter maid<br>Nothing can come between us<br>When it gets dark I tow your heart away<br>Standing by a parking meter<br>When I caught a glimpse of Rita<br>Filling in a ticket in her little white book<br>In a cap she looked much older<br>And the bag across her shoulder<br>Made her look a little like a military man<br><br>Lovely Rita meter maid<br>May I inquire discreetly (Lovely Rita)<br>When are you free to take some tea with me? (Lovely Rita, maid, ah)<br>Rita!<br><br>Took her out and tried to win her<br>Had a laugh and over dinner<br>Told her I would really like to see her again<br>Got the bill and Rita paid it<br>Took her home I nearly made it<br>Sitting on the sofa with a sister or two<br><br>Oh, lovely Rita meter maid<br>Where would I be without you<br>Give us a wink and make me think of you (Lovely Rita meter maid)<br>Lovely Rita meter maid, Rita meter maid (Lovely Rita meter maid)<br>Oh Lovely Rita meter meter maid (Lovely Rita meter maid)<br>Ah da, ah da (Lovely Rita meter maid)"
Lucy In The Sky With Diamonds,2,"Picture yourself in a boat on a river<br>With tangerine trees and marmalade skies<br>Somebody calls you, you answer quite slowly<br>A girl with kaleidoscope eyes<br><br>Cellophane flowers of yellow and green<br>Towering over your head<br>Look for the girl with the sun in her eyes<br>And she's gone<br><br>Lucy in the sky with diamonds<br>Lucy in the sky with diamonds<br>Lucy in the sky with diamonds<br>Aaaaahhhhh...<br><br>Follow her down to a bridge by a fountain<br>Where rocking horse people eat marshmallow pies<br>Everyone smiles as you drift past the flowers<br>That grow so incredibly high<br><br>Newspaper taxis appear on the shore<br>Waiting to take you away<br>Climb in the back with your head in the clouds<br>And you're gone<br><br>Lucy in the sky with diamonds<br>Lucy in the sky with diamonds<br>Lucy in the sky with diamonds<br>Aaaaahhhhh...<br><br>Picture yourself on a train in a station<br>With plasticine porters with looking glass ties<br>Suddenly someone is there at the turnstile<br>The girl with the kaleidoscope eyes<br><br>Lucy in the sky with diamonds<br>Lucy in the sky with diamonds<br>Lucy in the sky with diamonds<br>Aaaaahhhhh...<br>Lucy in the sky with diamonds<br>Lucy in the sky with diamonds<br>Lucy in the sky with diamonds<br>Aaaaahhhhh...<br>Lucy in the sky with diamonds<br>Lucy in the sky with diamonds<br>Lucy in the sky with diamonds"
Maggie Mae,4,"Oh dirty Maggie Mae they have taken her away<br>And she never walk down Lime Street any more<br>Oh the judge he guilty found her for robbing a homeward bounder<br>That dirty no good robbing Maggie Mae<br>This is a part of Liverpool, they returned me to<br>Two pounds ten a week, that was my pay"
Magical Mystery Tour,2,"[Roll up! Roll up for the magical mystery tour!<br>Step right this way!]<br><br>Roll up, roll up for the mystery tour<br>Roll up, roll up for the mystery tour<br>Roll up (And that's an invitation), roll up for the mystery tour<br>Roll up (To make a reservation), roll up for the mystery tour<br>The magical mystery tour is waiting to take you away<br>Waiting to take you away<br><br>Roll up, roll up for the mystery tour<br>Roll up, roll up for the mystery tour<br>Roll up (We've got everything you need), roll up for the mystery tour<br>Roll up (Satisfaction guaranteed), roll up for the mystery tour<br>The magical mystery tour is hoping to take you away<br>Hoping to take you away<br><br>Mystery trip<br><br>Aaaah... the magical mystery tour<br>Roll up, roll up for the mystery tour<br>Roll up (And that's an invitation), roll up for the mystery tour<br>Roll up (To make a reservation), roll up for the mystery tour<br>The magical mystery tour is coming to take you away<br>Coming to take you away<br>The magical mystery tour is dying to take you away<br>Dying to take you away, take you today"
Martha My Dear,4,Martha my dear though I spend my days in conversation<br>Please<br>Remember me Martha my love<br>Don't forget me Martha my dear<br><br>Hold your head up you silly girl look what you've done<br>When you find yourself in the thick of it<br>Help yourself to a bit of what is all around you<br>Silly girl<br><br>Take a good look around you<br>Take a good look you're bound to see<br>That you and me were meant to be for each other<br>Silly girl<br><br>Hold your hand out you silly girl see what you've done<br>When you find yourself in the thick of it<br>Help yourself to a bit of what is all around you<br>Silly girl<br><br>Martha my dear you have always been my inspiration<br>Please<br>Be good to me Martha my love<br>Don't forget me Martha my dear
Matchbox,4,"I said I'm sitting here watching<br>Matchbox hole in my clothes<br>I said I'm sitting here wondering<br>Matchbox hole in my clothes<br>I ain't got no matches but I sure<br>Got a long way to go<br><br>I'm an ole poor boy, and I'm a<br>Long way from home<br>I'm an ole poor boy, and I'm a<br>Long way from home<br>I'll never be happy cause everything I've<br>Ever did was wrong<br><br>Well, if you don't want my peaches honey<br>Please don't shake my tree<br>Well, if you don't want my peaches honey<br>Please don't mess around my tree<br>I got news for you baby<br>Leave me here in misery<br><br>Well, let me be your little dog<br>Till your big dog comes<br>Well, let me be your little dog<br>Till your big dog comes<br>And when your big dog gets here<br>Watch how your puppy dog runs<br><br>I said I'm sitting here watching<br>Matchbox hole in my clothes<br>I said I'm sitting here watching<br>Matchbox hole in my clothes<br>I ain't got no matches but I sure<br>Got a long way to go"
Maxwell's Silver Hammer,4,"Joan was quizzical, studied pataphysical<br>Science in the home<br>Late nights all alone with a test-tube ohh oh oh oh<br>Maxwell Edison majoring in medicine<br>Calls her on the phone<br>Can I take you out to the pictures, Joan?<br>But as she's getting ready to go<br>A knock comes on the door<br><br>Bang, bang, Maxwell's silver hammer<br>Came down upon her head<br>Bang, bang, Maxwell's silver hammer<br>Made sure that she was dead<br><br>Back in school again Maxwell plays the fool again<br>Teacher gets annoyed<br>Wishing to avoid an unpleasant scene<br>She tells Max to stay when the class has gone away<br>So he waits behind<br>Writing 50 times ""I must not be so"" oh oh oh<br>But when she turns her back on the boy<br>He creeps up from behind<br><br>Bang, bang, Maxwell's silver hammer<br>Came down upon her head<br>Do do do do do<br>Bang, bang, Maxwell's silver hammer<br>Made sure that she was dead<br><br>P.C. Thirty-One said ""We caught a dirty one""<br>Maxwell stands alone<br>Painting testimonial pictures ohh oh oh oh<br>Rose and Valerie screaming from the gallery<br>Say he must go free (Maxwell must go free)<br>The judge does not agree and he tells them so oh oh oh<br>But as the words are leaving his lips<br>A noise comes from behind<br><br>Bang, bang, Maxwell's silver hammer<br>Came down upon his head<br>Do do do do do<br>Bang, Bang, Maxwell's silver hammer<br>Made sure that he was dead<br>Wow wow wow oh!<br>Do do do do do<br><br>Silver hammer Max"
Mean Mr. Mustard,4,"Mean Mister Mustard sleeps in the park<br>Shaves in the dark trying to save paper<br>Sleeps in a hole in the road<br>Saving up to buy some clothes<br>Keeps a ten-bob note up his nose<br>Such a mean old man<br>Such a mean old man<br><br>His sister Pam works in a shop<br>She never stops, she's a go-getter<br>Takes him out to look at the queen<br>Only place that he's ever been<br>Always shouts out something obscene<br>Such a dirty old man<br>Dirty old man"
Michelle,2,"Michelle, ma belle<br>These are words that go together well<br>My Michelle<br><br>Michelle, ma belle<br>Sont des mots qui vont très bien ensemble<br>Très bien ensemble<br><br>I love you, I love you, I love you<br>That's all I want to say<br>Until I find a way<br>I will say the only words I know that<br>You'll understand<br><br>Michelle, ma belle<br>Sont des mots qui vont très bien ensemble<br>Très bien ensemble<br><br>I need to, I need to, I need to<br>I need to make you see<br>Oh, what you mean to me<br>Until I do I'm hoping you will<br>Know what I mean<br><br>I love you<br><br>I want you, I want you, I want you<br>I think you know by now<br>I'll get to you somehow<br>Until I do I'm telling you so<br>You'll understand<br><br>Michelle, ma belle<br>Sont des mots qui vont très bien ensemble<br>Très bien ensemble<br><br>And I will say the only words I know<br>That you'll understand, my Michelle"
Misery,4,"The world is treating me bad... Misery<br><br>I'm the kind of guy<br>Who never used to cry<br>The world is treating me bad... Misery!<br><br>I've lost her now for sure<br>I won't see her no more<br>It's gonna be a drag... Misery!<br><br>I'll remember all the little things we've done<br>Can't she see she'll always be the only one, only one<br><br>Send her back to me<br>Cos everyone can see<br>Without her I will be in misery<br><br>I'll remember all the little things we've done<br>She'll remember and she'll miss her only one, lonely one<br><br>Send her back to me<br>Cos everyone can see<br>Without her I will be in misery (Oh oh oh)<br>In misery (Ooh ee ooh ooh)<br>My misery (La la la la la la)"
Money (That's What I Want),4,"The best things in life are free<br>But you can keep 'em for the birds and bees<br><br>Now give me money (that's what I want)<br>That's what I want (that's what I want)<br>That's what I want (that's what I want) yeah<br>That's what I want<br><br>Your loving give me a thrill,<br>But your loving don't pay my bills<br><br>Now give me money (that's what I want)<br>That's what I want (that's what I want)<br>That's what I want (that's what I want) yeah<br>That's what I want<br><br>Money don't get everything it's true<br>What it don't get I can't use<br><br>Now give me money (that's what I want)<br>That's what I want (that's what I want)<br>That's what I want (that's what I want) yeah<br>That's what I want<br><br>Well, now give me money (that's what I want)<br>Whole lot of money (that's what I want)<br>Whoah yeah, I wanna be free (that's what I want)<br>Oh, money (that's what I want)<br>That's what I want, yeah (that's what I want)<br>That's what I want<br><br>Well, now give me money (that's what I want)<br>Whole lot of money (that's what I want, whoo)<br>Whoah, yeah, you know I need money (that's what I want)<br>Now give me money (that's what I want, whoo)<br>That's what I want, yeah (that's what I want)<br>That's what I want"
Mother Nature's Son,4,"Born a poor young country boy, Mother Nature's son<br>All day long I'm sitting singing songs for everyone<br><br>Sit beside a mountain stream, see her waters rise<br>Listen to the pretty sound of music as she flies<br><br>Doo doo doo doo doo doo doo doo doo doo doo<br>Doo doo doo doo doo doo doo doo doo<br>Doo doo doo<br><br>Find me in my field of grass, Mother Nature's son<br>Swaying daisies sing a lazy song beneath the sun<br><br>Doo doo doo doo doo doo doo doo doo doo doo<br>Doo doo doo doo doo doo doo doo doo<br>Doo doo doo doo doo doo<br>Yeah yeah yeah<br><br>Mm mm mm mm mm mm mm<br>Mm mm mm, ooh ooh ooh<br>Mm mm mm mm mm mm mm<br>Mm mm mm mm, wah wah wah<br><br>Wah, Mother Nature's son"
Mr. Moonlight,4,"Mr. Moonlight<br>You came to me one summer night<br>And from your beam you made my dream<br>And from the world you sent my girl<br>And from above you sent us love<br>And now she is mine<br>I think you're fine<br>Cos we love you, Mr. Moonlight<br><br>Mr. Moonlight, come again please<br>Here I am on my knees<br>Begging if you please<br>And the night you don't come my way<br>I'll pray and pray more each day<br>Cos we love you, Mr. Moonlight<br><br>And the night you don't come my way<br>Oh, I'll pray and pray more each day<br>Cos we love you, Mr. Moonlight<br>Mr. Moonlight<br><br>Mr. Moonlight, come again please<br>Here I am on my knees<br>Begging if you please<br>And the night you don't come my way<br>I'll pray and pray more each day<br>Cos we love you, Mr. Moonlight<br>Mr. Moonlight<br>Mr. Moonlight<br>Mr. Moonlight"
No Reply,4,"This happened once before<br>When I came to your door<br>No reply<br>They said it wasn't you<br>But I saw you peep through your window<br><br>I saw the light, I saw the light<br>I know that you saw me<br>As I looked up to see your face<br><br>I tried to telephone<br>They said you were not home<br>That's a lie<br>'Cause I know where you've been<br>I saw you walk in your door<br><br>I nearly died, I nearly died<br>'Cause you walked hand in hand<br>With another man in my place<br><br>If I were you I'd realize that I<br>Love you more than any other guy<br>And I'll forgive the lies that I<br>Heard before when you gave me no reply<br><br>I've tried to telephone<br>They said you were not home<br>That's a lie<br>'Cause I know where you've been<br>I saw you walk in your door<br><br>I nearly died, I nearly died<br>'Cause you walked hand in hand<br>With another man in my place<br><br>No reply, no reply"
Norwegian Wood,2,"I once had a girl<br>Or should I say<br>She once had me<br><br>She showed me her room<br>Isn't it good<br>Norwegian wood<br><br>She asked me to stay<br>And she told me to sit anywhere<br>So I looked around<br>And I noticed there wasn't a chair<br><br>I sat on a rug<br>Biding my time<br>Drinking her wine<br><br>We talked until two<br>And then she said<br>""It's time for bed""<br><br>She told me she worked in the morning<br>And started to laugh<br>I told her I didn't<br>And crawled off to sleep in the bath<br><br>And when I awoke<br>I was alone<br>This bird had flown<br><br>So I lit a fire<br>Isn't it good<br>Norwegian wood"
Not A Second Time,4,"You know you made me cry<br>I see no use in wondering why<br>I cry for you<br><br>And now you've changed your mind<br>I see no reason to change mine<br>I cry it's through, oh<br><br>You're giving me the same old line<br>I'm wondering why<br>You hurt me then<br>You're back again<br>No, no, no, not a second time<br><br>You know you made me cry<br>I see no use in wondering why<br>I cry for you, yea<br><br>And now you've changed your mind<br>I see no reason to change mine<br>I cry it's through, oh<br><br>You're giving me the same old line<br>I'm wondering why<br>You hurt me then<br>You're back again<br>No, no, no, not a second time<br>Not a second time<br>Not the second time<br>No, no, no, no, no<br>No, no no"
Now And Then,3,"(One, two, three)<br><br>I know it's true<br>It's all because of you<br>And, if I make it through<br>It's all because of you<br><br>And, now and then<br>If we must start again<br>Well, we will know for sure<br>That I will love you<br><br>Now and then<br>I miss you<br>Oh, now and then<br>I want you to be there for me<br>Always to return to me<br><br>I know it's true<br>It's all because of you<br>And, if you go away<br>I know you'll never stay<br><br>Now and then<br>I miss you<br>Oh, now and then<br>I want you to be there for me<br><br>I know it's true<br>It's all because of you<br>And, if I make it through<br>It's all because of you"
Nowhere Man,2,"He's a real nowhere man<br>Sitting in his nowhere land<br>Making all his nowhere plans for nobody<br><br>Doesn't have a point of view<br>Knows not where he's going to<br>Isn't he a bit like you and me?<br><br>Nowhere Man, please listen<br>You don't know what you're missing<br>Nowhere Man, the world is at your command<br><br>He's as blind as he can be<br>Just sees what he wants to see<br>Nowhere Man can you see me at all?<br><br>Nowhere Man, don't worry<br>Take your time, don't hurry<br>Leave it all till somebody else lends you a hand<br><br>Doesn't have a point of view<br>Knows not where he's going to<br>Isn't he a bit like you and me?<br><br>Nowhere Man, please listen<br>You don't know what you're missing<br>Nowhere Man, the world is at your command<br><br>He's a real Nowhere Man<br>Sitting in his nowhere land<br>Making all his nowhere plans for nobody<br>Making all his nowhere plans for nobody<br>Making all his nowhere plans for nobody"
"Ob-La-Di, Ob-La-Da",2,"Desmond has a barrow in the market place<br>Molly is the singer in a band<br>Desmond says to Molly, ""Girl, I like your face""<br>And Molly says this as she takes him by the hand<br><br>Ob-la-di ob-la-da life goes on bra<br>La-la how their life goes on<br>Ob-la-di ob-la-da life goes on bra<br>La-la how their life goes on<br><br>Desmond takes a trolley to the jeweler's stores<br>Buys a twenty carat golden ring (Golden ring?)<br>Takes it back to Molly waiting at the door<br>And as he gives it to her she begins to sing (Sing)<br><br>Ob-la-di ob-la-da life goes on bra<br>La-la how their life goes on<br>Ob-la-di ob-la-da life goes on bra<br>La-la how their life goes on, yeah (No)<br><br>In a couple of years they have built<br>A home sweet home<br>With a couple of kids running in the yard<br>Of Desmond and Molly Jones<br>(Ah ha ha ha ha ha)<br><br>Happy ever after in the market place<br>Desmond lets the children lend a hand (Arm! Leg!)<br>Molly stays at home and does her pretty face<br>And in the evening she still sings it with the band<br><br>Yes, ob-la-di ob-la-da life goes on bra<br>La-la how their life goes on (Ha ha ha)<br>Hey, ob-la-di ob-la-da life goes on bra<br>La-la how their life goes on<br><br>In a couple of years they have built<br>A home sweet home<br>With a couple of kids running in the yard<br>Of Desmond and Molly Jones<br>(Ha ha ha ha ha ha ha ha ha ha)<br><br>Yeah, happy ever after in the market place<br>Molly lets the children lend a hand (Foot!)<br>Desmond stays at home and does his pretty face<br>And in the evening she's a singer with the band<br><br>Yeah, ob-la-di ob-la-da life goes on bra<br>La-la how their life goes on<br>Yeah, ob-la-di ob-la-da life goes on bra<br>La-la how their life goes on<br><br>And if you want some fun<br>Take ob-la-di ob-la-da<br><br>(Thank you, uh, ha ha ha!)"
Octopus's Garden,2,"I'd like to be under the sea<br>In an octopus's garden in the shade<br>He'd let us in, knows where we've been<br>In his octopus's garden in the shade<br><br>I'd ask my friends to come and see<br>An octopus's garden with me<br>I'd like to be under the sea<br>In an octopus's garden in the shade<br><br>We would be warm below the storm<br>In our little hideaway beneath the waves<br>Resting our head on the sea bed<br>In an octopus's garden near a cave<br><br>We would sing and dance around<br>Because we know we can't be found<br>I'd like to be under the sea<br>In an octopus's garden in the shade<br><br>We would shout and swim about<br>The coral that lies beneath the waves<br>(Lies beneath the ocean waves)<br>Oh what joy for every girl and boy<br>Knowing they're happy and they're safe<br>(Happy and they're safe)<br><br>We would be so happy you and me<br>No one there to tell us what to do<br>I'd like to be under the sea<br>In an octopus's garden with you<br>In an octopus's garden with you<br>In an octopus's garden with you"
Oh! Darling,3,"Oh! Darling, please believe me<br>I'll never do you no harm<br>Believe me when I tell you<br>I'll never do you no harm<br><br>Oh! Darling, if you leave me<br>I'll never make it alone<br>Believe me when I beg you, ooh<br>Don't ever leave me alone<br><br>When you told me<br>You didn't need me anymore<br>Well you know I nearly broke down and cried<br>When you told me<br>You didn't need me anymore<br>Well you know I nearly broke down and died<br><br>Oh! Darling, if you leave me<br>I'll never make it alone<br>Believe me when I tell you<br>I'll never do you no harm<br>Believe me darling<br><br>When you told me, ooh<br>You didn't need me anymore<br>Well you know I nearly broke down and cried<br>When you told me<br>You didn't need me anymore<br>Well you know I nearly broke down and died<br><br>Oh! Darling, please believe me<br>I'll never let you down<br>Oh, believe me darling<br>Believe me when I tell you, ooh<br>I'll never do you no harm"
Old Brown Shoe,2,"I want a love that's right but right is only half of what's wrong<br>I want a short haired girl who sometimes wears it twice as long<br>Now I'm stepping out this old brown shoe, baby, I'm in love with you<br>I'm so glad you came here, it won't be the same now, I'm telling you<br><br>You know you pick me up from where some try to drag me down<br>And when I see your smile replace every thoughtless frown<br>Got me escaping from this zoo, baby, I'm in love with you<br>I'm so glad you came here, it won't be the same now when I'm with you<br><br>If I grow up I'll be a singer wearing rings on every finger<br>Not worrying what they or you say I'll live and love and maybe someday<br>Who knows, baby, you may comfort me<br><br>I may appear to be imperfect, my love is something you can't reject<br>I'm changing faster than the weather if you and me should get together<br>Who knows, baby, you may comfort me<br><br>I want that love of yours, to miss that love is something I'd hate<br>I'll make an early start, I'm making sure that I'm not late<br>For you sweet top lip I'm in the queue, baby, I'm in love with you<br>I'm so glad you came here, it won't be the same now when I'm with you<br>I'm so glad you came here, it won't be the same now when I'm with you"
